0011x00000D1xrFAAR,MINI MERCADO,FAIXA 6,-15.44722222,-50.3625,1733.1928144461363
0011x00000D1xqEAAR,MINI MERCADO,FAIXA 6,-17.56472222,-52.55805556,1805.0773311799792
0011x00000D1xnZAAR,MINI MERCADO,FAIXA 6,-15.73777778,-49.32555556,1828.5595211659224
0011x00000D1xktAAB,MINI MERCADO,FAIXA 6,-16.63083333,-49.25138889,1910.0949228851316
0011x00000D1xlPAAR,MINI MERCADO,FAIXA 6,-16.71944444,-49.32055556,1913.1969134417088
0011x00000D1xngAAB,MINI MERCADO,FAIXA 6,-16.00972222,-48.00166667,1945.66864275955
0011x00000D1xqGAAR,MINI MERCADO,FAIXA 6,-20.45472222,-53.76027778,2049.5911951650464
0011x00000D1xlJAAR,MINI MERCADO,FAIXA 5,-9.97777778,-67.88222222,0.0
0011x00000D1xpwAAB,MINI MERCADO,FAIXA 5,-15.65888889,-56.09694444,1424.7158319568857
0011x00000D1xmkAAB,MINI MERCADO,FAIXA 5,-18.0975,-54.55027778,1696.6363558925373
0011x00000D1xrpAAB,MINI MERCADO,FAIXA 5,-16.65555556,-49.29583333,2142.0429250115417
0011x00000D1xpEAAR,MINI MERCADO,FAIXA 5,-18.13166667,-49.04194444,2222.839019283661
0011x00000D1xnfAAB,MINI MERCADO,FAIXA 5,-15.8575,-48.07472222,2242.431942050655
0011x00000D1xrAAAR,MINI MERCADO,FAIXA 5,-15.62166667,-46.41861111,2408.6436686563256
NULL,NULL,NULL,1.0E10,1.0E10,1.0E10
NULL,NULL,NULL,1.0E10,1.0E10,1.0E10
NULL,NULL,NULL,1.0E10,1.0E10,1.0E10
NULL,NULL,NULL,1.0E10,1.0E10,1.0E10
0011x00000D1xlLAAR,MINI MERCADO,FAIXA 4,-1.36027778,-48.44888889,0.0
NULL,NULL,NULL,1.0E10,1.0E10,1.0E10
NULL,NULL,NULL,1.0E10,1.0E10,1.0E10
NULL,NULL,NULL,1.0E10,1.0E10,1.0E10
NULL,NULL,NULL,1.0E10,1.0E10,1.0E10
NULL,NULL,NULL,1.0E10,1.0E10,1.0E10
NULL,NULL,NULL,1.0E10,1.0E10,1.0E10
NULL,NULL,NULL,1.0E10,1.0E10,1.0E10
NULL,NULL,NULL,1.0E10,1.0E10,1.0E10
NULL,NULL,NULL,1.0E10,1.0E10,1.0E10
NULL,NULL,NULL,1.0E10,1.0E10,1.0E10
